mode,date,hour,status,seconds,gap,S,rho,ESS,initial_soc,committed_slots
4-3,2025-03-07,18,Optimal,0.22169425000902265,0,20,0.32416373514235092,46.911631672439249,10175.997827783867,36
4-3,2025-03-08,0,Optimal,0.21668195800157264,0,20,0.30662274580942972,52,1263.8203558386595,36
4-3,2025-03-08,6,Optimal,0.21576200000708923,2.0400060141344562e-16,20,0.30431824660467882,41.601276906666897,5205.3271135584955,36
4-3,2025-03-08,12,Optimal,0.25607037500594743,2.6664905790670348e-16,20,0.30123036322735669,43.522890575568177,3866.8343637627859,36
4-3,2025-03-08,18,Optimal,0.32210133402259089,0,20,0.31697428699942271,45.985006490677087,10163.106250385168,36
4-3,2025-03-09,0,Optimal,0.21132354100700468,2.7120787183769631e-16,20,0.27985542667376895,53,2084.4470026659392,36
4-3,2025-03-09,6,Optimal,0.36463412499870174,0,20,0.29253744685126293,45.671590335424192,9966.2272220518298,36
4-3,2025-03-09,12,Optimal,0.32846441600122489,0,20,0.28669746094825405,50.135766328575741,6547.1323580768203,36
4-3,2025-03-09,18,Optimal,0.30823291698470712,0,20,0.30461609408700735,47.874401189417618,9990.380618343781,36
4-3,2025-03-10,0,Optimal,0.28396541698020883,0,20,0.28333577636953972,54,1442.9535653453513,36
4-3,2025-03-10,6,Optimal,0.33653924998361617,0,20,0.29461119378183653,45.383426229823883,9905.6150105150882,36
4-3,2025-03-10,12,Optimal,0.32087729198974557,1.5588611190086726e-16,20,0.27515832847367816,46.201771627764899,6169.1883540084646,36
4-3,2025-03-10,18,Optimal,0.27463637499022298,0,20,0.29644954107824933,47.426461776679588,9997.8298294393753,36
4-3,2025-03-11,0,Optimal,0.24806133398669772,4.8392990072365946e-16,20,0.29324130340434301,55,1470.6734675398948,36
4-3,2025-03-11,6,Optimal,0.31975029100431129,1.5874067957806679e-16,20,0.25378476307420639,44.639058006814928,9933.0991459923152,36
4-3,2025-03-11,12,Optimal,0.30757649999577552,0,20,0.26859942039203522,51.159425492736048,6967.3412769388924,36
4-3,2025-03-11,18,Optimal,0.31916995800565928,1.7378502541192765e-16,20,0.29778858818718346,50.584926623174539,10020.72334777879,36
4-3,2025-03-12,0,Optimal,0.23871312499977648,0,20,0.29114192311817155,56,1370.4557232332536,36
4-3,2025-03-12,6,Optimal,0.32333908401778899,0,20,0.26742100765697757,44.035758860941172,9890.061518795892,36
4-3,2025-03-12,12,Optimal,0.3204654169967398,0,20,0.28448436606310928,49.6015332095415,6631.0107194155298,36
