month,horizon,nominal,n,covered,width_sum,coverage,bias_pp,mean_width_kwh
5,1,0.80000000000000004,4464,3342,645708.31172760855,0.74865591397849462,-5.1344086021505415,144.64791929381911
5,1,0.90000000000000002,4464,3685,767660.64502466342,0.82549283154121866,-7.4507168458781354,171.96699037290847
5,2,0.80000000000000004,4464,3258,626612.08383080782,0.72983870967741937,-7.0161290322580676,140.37009046389065
5,2,0.90000000000000002,4464,3577,746864.5094278414,0.80129928315412191,-9.8700716845878116,167.30835784673866
6,0,0.80000000000000004,4320,3106,795831.06778255489,0.71898148148148144,-8.1018518518518601,184.22015457929513
6,0,0.90000000000000002,4320,3442,958147.66171593172,0.79675925925925928,-10.324074074074074,221.79344021202124
6,1,0.80000000000000004,4320,3134,820539.83572591946,0.72546296296296298,-7.4537037037037068,189.93977678840727
6,1,0.90000000000000002,4320,3464,967502.36106624745,0.80185185185185182,-9.8148148148148202,223.95887987644616
6,2,0.80000000000000004,4320,3151,852314.90986483148,0.72939814814814818,-7.060185185185186,197.29511802426654
6,2,0.90000000000000002,4320,3468,1004044.2551202251,0.80277777777777781,-9.7222222222222214,232.41765164820026
7,0,0.80000000000000004,4464,3457,856162.3437370013,0.7744175627240143,-2.5582437275985748,191.79263972603076
7,0,0.90000000000000002,4464,3773,1035163.6299182918,0.8452060931899642,-5.479390681003582,231.89149415732342
7,1,0.80000000000000004,4464,3432,899032.96702450584,0.76881720430107525,-3.1182795698924792,201.39627397502372
7,1,0.90000000000000002,4464,3761,1081326.3311099759,0.84251792114695345,-5.748207885304657,242.23260105510212
7,2,0.80000000000000004,4320,3369,895455.89344671427,0.77986111111111112,-2.0138888888888928,207.28145681636903
7,2,0.90000000000000002,4320,3648,1045977.9973099557,0.84444444444444444,-5.555555555555558,242.12453641434158
8,0,0.80000000000000004,4464,3639,741815.91894330271,0.81518817204301075,1.5188172043010706,166.1774011969764
8,0,0.90000000000000002,4464,3936,908048.28972958215,0.88172043010752688,-1.8279569892473146,203.41583551289924
8,1,0.80000000000000004,4464,3574,788539.3524693317,0.80062724014336917,0.062724014336912326,176.64412017682162
8,1,0.90000000000000002,4464,3880,972414.8448886507,0.86917562724014341,-3.0824372759856611,217.83486668652569
8,2,0.80000000000000004,4464,3574,805314.89305635483,0.80062724014336917,0.062724014336912326,180.40208177785726
8,2,0.90000000000000002,4464,3858,975533.0143908126,0.864247311827957,-3.5752688172043023,218.53338135994906
9,0,0.80000000000000004,4320,3491,830829.08315093035,0.8081018518518519,0.81018518518518601,192.32154702567831
9,0,0.90000000000000002,4320,3739,1021130.2096300279,0.86550925925925926,-3.4490740740740766,236.37273371065461
9,1,0.80000000000000004,4320,3576,879270.17500647332,0.82777777777777772,2.7777777777777679,203.53476273297994
9,1,0.90000000000000002,4320,3809,1064323.9385335543,0.88171296296296298,-1.8287037037037046,246.37128206795239
9,2,0.80000000000000004,4320,3655,903312.07197224372,0.84606481481481477,4.6064814814814721,209.10001666024161
9,2,0.90000000000000002,4320,3875,1081250.6163646367,0.8969907407407407,-0.30092592592593226,250.28949452885109
10,0,0.80000000000000004,4464,3790,667213.49866948463,0.84901433691756267,4.9014336917562629,149.46538948689172
10,0,0.90000000000000002,4464,4073,829809.85261873004,0.91241039426523296,1.2410394265232938,185.88930390204527
10,1,0.80000000000000004,4464,3894,729850.10851056187,0.87231182795698925,7.2311827956989205,163.49688810720471
10,1,0.90000000000000002,4464,4148,927550.20400319062,0.92921146953405021,2.9211469534050183,207.78454390752478
10,2,0.80000000000000004,4464,3974,763618.47015109332,0.89023297491039421,9.0232974910394166,171.06148524890082
10,2,0.90000000000000002,4464,4201,947276.62455422676,0.94108422939068104,4.1084229390681015,212.20354492702214
11,0,0.80000000000000004,4320,3654,492702.85017415561,0.84583333333333333,4.5833333333333286,114.05158568846194
11,0,0.90000000000000002,4320,3916,626078.77667378774,0.90648148148148144,0.64814814814814214,144.92564274856198
11,1,0.80000000000000004,4320,3674,550108.22813927999,0.85046296296296298,5.0462962962962932,127.33986762483333
11,1,0.90000000000000002,4320,3915,724866.66919262172,0.90625,0.62499999999999778,167.79321046125503
11,2,0.80000000000000004,4032,3382,526941.43219749664,0.83878968253968256,3.8789682539682513,130.68983933469659
11,2,0.90000000000000002,4032,3611,669114.70895392355,0.89558531746031744,-0.44146825396825795,165.95106868896914
12,0,0.80000000000000004,4464,3569,523105.86498754798,0.79950716845878134,-0.049283154121870787,117.18321348287365
12,0,0.90000000000000002,4464,3850,656019.65076542459,0.86245519713261654,-3.7544802867383487,146.95780707110765
12,1,0.80000000000000004,4320,3451,574630.97612387582,0.7988425925925926,-0.11574074074074403,133.01642965830459
12,1,0.90000000000000002,4320,3741,733708.59593447018,0.86597222222222225,-3.4027777777777768,169.83995276260885
12,2,0.80000000000000004,4176,3334,588147.930435154,0.79837164750957856,-0.16283524904214808,140.84002165592767
12,2,0.90000000000000002,4176,3638,737873.56535005011,0.87116858237547889,-2.8831417624521127,176.69386143439897
