id,question,parameter,value,date,role,status,started_at,total_cost,planned_cost,adjustment_cost,emergency_kwh,emergency_cost,min_soc,final_soc,charge_kwh,discharge_kwh,throughput_kwh,seconds,reliable,max_gap,nodes,certified_nodes,history_sha256,physical_verified,delta_cost_pct,delta_emergency_kwh,delta_emergency_pct,emergency_pct_defined,status_label,signature,dispatch_sha256,audit_sha256,optional,soc_upper_fraction,soc_lower_fraction
baseline_q3_S_10_2025-07-02,q3,S,20,2025-07-02,高风险日,baseline_reused,,68659.16341539874,44948.964535737803,4002.4429458296572,3970.2520938945622,19707.755933831286,1200,6720.0702662791764,15385.556272928232,12430.259199714757,27815.815472642989,47.816191751000588,False,,4,2,,True,0,0,0,True,,,,,,0,0.1111111111111111
q3_S_28_2025-07-02,q3,S,28,2025-07-02,高风险日,limited,1789277512.132169,68577.901373714121,45096.534518690794,4152.3301886102572,3745.6427068401526,19329.036666413067,1200,6694.4397583278405,15060.775448838544,12190.254189358318,27251.029638196862,60.250073875009548,False,0.12456860511907893,4,0,,True,-0.11835571195787854,-224.60938705440958,-5.6573079427327304,True,限时可行 / 未认证,5e2fe41396e6ac34a87350c68436999e7804dc7dcd263f6937c1c259b2cad06a,8455ca988807e76eabc051b256de1dbf4c42be0c4fa0ec5862a1094625844e32,95688b8113e63832d891cb02912a6972d20bd2d24c02c2af5f136be977ec9c9e,,0,0.1111111111111111
q3_lambda_E_0.8_2025-03-12,q3,lambda_E,0.80000000000000004,2025-03-12,常规日,complete,1789277572.3962231,38598.886906270833,40059.480690581913,-1584.1023412612444,44.268634217464935,123.50855695016783,1222.516046208061,1273.0289364561947,12034.501915022125,17675.560203188892,29710.062118211019,6.9225795420061331,True,0.024352622284853975,4,4,,True,-9.2762469437250008,7.5762790806207505,20.648113353217607,True,完成 / 已认证,37e59d4db2547aa11f77354f3ab4136bff684d5919f4f62d936e62fb3ef05645,495b37c44dacd71e97696b5a4a6a5a9d3c48d556bfbc5ec91cca710387e4f86a,035983b04b45e5338402b046e0ddb03a2086e63eea81eed44216d485f32cb1d5,,0.083333333333333329,0
baseline_q3_lambda_E_0.8_2025-03-12,q3,lambda_E,1,2025-03-12,常规日,baseline_reused,,42545.513832886019,44005.404538370101,-1611.0778999291633,36.692355136844185,151.18719444508554,1248.9056517417532,9669.3764088815515,21233.962705587466,17570.410718364004,38804.373423951474,36.909480917980545,False,,4,3,,True,0,0,0,True,,,,,,0.083333333333333329,0
q3_lambda_E_1.2_2025-03-12,q3,lambda_E,1.2,2025-03-12,常规日,limited,1789277579.437923,42927.724828422688,44364.177626031145,-1615.4767714744389,46.924424884713815,179.02397386597858,1248.9056517417514,10394.733894400406,22014.975136542656,17550.209050470738,39565.184187013394,38.720484916004352,False,0.039743577915755654,4,3,,True,0.89835792567449135,10.23206974786963,27.886107909151953,True,限时可行 / 未认证,cd0cef59c02baa385227f013c3f7fe160aed4450414644a09f7cf7e77ce83fa9,4ccbb5467094fd8f2572b5ec1fa8c1ca8029eeec096b3a25342fa6334f1171ae,3e2e92f524f74d50667a17d41eb7cb35d395f67d83c2092dbf5c294be464d0f7,,0.083333333333333329,0
q3_lambda_E_0.8_2025-08-25,q3,lambda_E,0.80000000000000004,2025-08-25,高预测更新日,complete,1789277618.1713121,49869.725346711348,54825.277690638453,-5047.7970018876777,21.062828624400709,92.244657960562904,1710.6855926034459,1881.980930472783,11981.329252945521,16863.147027594638,28844.476280540159,21.353286416997435,True,0.02641837189936656,4,4,,True,-7.1310764831213991,-1.5925083799595541,-7.0292857689693991,True,完成 / 已认证,733d508f428a4030df6d7ad71aae9c13f018eac4a09f79f42147ba4d5fd57476,a28769c40457f89c1d2c535f97988ad3c8adfc3dcacf88a2a8d8fb471fa08713,023e93869e42edadc9ea20ed27337a4f0538e673b9acee6a57ebe8173a88f99e,,0.090277777777777776,0
baseline_q3_lambda_E_0.8_2025-08-25,q3,lambda_E,1,2025-08-25,高预测更新日,baseline_reused,,53699.045340659839,58660.591820442132,-5057.2954524329562,22.655337004360263,95.748972650663902,1710.6855926034459,10077.809874267907,20788.933845525811,16621.060698169058,37409.994543694869,44.327987332988414,False,,4,2,,True,0,0,0,True,,,,,,0.10416666666666667,0
q3_lambda_E_1.2_2025-08-25,q3,lambda_E,1.2,2025-08-25,高预测更新日,limited,1789277639.536185,53855.045186739037,58802.229588123024,-5039.4290593445448,21.062828624400709,92.244657960562904,1710.8481525406874,10382.51892669693,21119.009985466386,16614.184224334811,37733.194209801193,29.220580499997595,False,0.05376192045321497,4,3,,True,0.29050767120635873,-1.5925083799595541,-7.0292857689693991,True,限时可行 / 未认证,4570dec4a73c1fe81b55809dd8cb278d91ed5dffe5cd3c976450004cf47831bd,5766e58626f78ec24f6a95db927f752b0e98a62aadcf37a9e48b8d5134a3bc42,059cdd7becdcf2f92c6e559cff3f16344729dfa8405acb60f18428c226e64407,,0.097222222222222224,0
q3_lambda_E_0.8_2025-07-01,q3,lambda_E,0.80000000000000004,2025-07-01,高调整成本日,limited,1789277668.7701828,75214.409941420105,39045.251092453596,12224.046184125305,5008.4399282733393,23945.112664841196,1200,1200,9298.7565148893573,15400.84729263679,24699.603807526146,52.747886458993889,False,0.055202398986987741,4,1,,True,-1.9050706064226983,453.16607587901217,9.9481631744449484,True,限时可行 / 未认证,43af63f761dc791b0a68392645f62c0c15f23ef0c167ca7dc4e6c6a2ac1691ae,cb3a4da828b4c7fb688197585f75ccb416c11da04786941209307190d3f7aeb6,80b805c3824049c4ee9a5f85ccf2c7eb898e6fc2daa801704b82031310ff9029,,0,0.125
baseline_q3_lambda_E_0.8_2025-07-01,q3,lambda_E,1,2025-07-01,高调整成本日,baseline_reused,,76675.125214315834,41952.854882816144,12224.592278422484,4555.2738523943272,22497.678053077208,1200,6684.4687314379426,14686.450760168836,14828.857773019021,29515.308533187857,51.874550501015619,False,,4,1,,True,0,0,0,True,,,,,,0,0.090277777777777776
q3_lambda_E_1.2_2025-07-01,q3,lambda_E,1.2,2025-07-01,高调整成本日,limited,1789277721.5302479,76954.605977273575,42212.550947719486,12224.917060177653,4385.3362484281406,22517.137969376432,1200,7289.0367962438431,15315.249006103915,14794.073093901119,30109.322100005033,52.882236583012855,False,0.073073023646022764,4,1,,True,0.36449991072927468,-169.93760396618654,-3.7305683362343744,True,限时可行 / 未认证,7e90f0e27944e1539c172c47a29c23263021ee1cc0d860f3ff92ba8170654cd1,a58f0fa618720d3286a07387110e383bdeda888e36ffad39de1a245adb0257ee,e240f6e6ebc657233a828bd2205d51ece1df629fa1bee3a8920826c0260221db,,0,0.083333333333333329
q3_lambda_E_0.8_2025-07-02,q3,lambda_E,0.80000000000000004,2025-07-02,高风险日,limited,1789277774.4251981,65243.174723198092,41921.515038467289,4305.3569729227402,3644.470526051743,19016.302711808072,1200,1200,10771.771095279793,13661.156445470777,24432.92754075057,53.092882458004169,False,0.066769374462578954,4,2,,True,-4.9752844664496996,-325.78156784281919,-8.2055637812975348,True,限时可行 / 未认证,d36e650aca3a413e68683d790362cf436e8b64f245949d10d432116b5a7abdb0,5404227942c3ccb6b0fc3ef7be57656657a1cd99463aba4d38e13c99c08169b4,e544d60274531530968a9b73d544b23d7a0030e84004860d1e31f0112ac533da,,0,0.1388888888888889
baseline_q3_lambda_E_0.8_2025-07-02,q3,lambda_E,1,2025-07-02,高风险日,baseline_reused,,68659.16341539874,44948.964535737803,4002.4429458296572,3970.2520938945622,19707.755933831286,1200,6720.0702662791764,15385.556272928232,12430.259199714757,27815.815472642989,47.816191751000588,False,,4,2,,True,0,0,0,True,,,,,,0,0.1111111111111111
q3_lambda_E_1.2_2025-07-02,q3,lambda_E,1.2,2025-07-02,高风险日,limited,1789277827.5301161,68363.613685086486,45331.194716572354,3952.3242673135069,3642.9787800867621,19080.094701200604,1200,7201.2148435352919,16153.961625604481,12619.637415852016,28773.599041456495,56.683335582987638,False,0.14238436839178067,4,1,,True,-0.43045926517358135,-327.27331380780015,-8.2431368605303366,True,限时可行 / 未认证,82fd260f10594facb4e7443489a54b65b25dce5016c351ce260f5891e6f2949e,e73d5d6783f603aa49d30b112c706ed8ccdb071e38ebb3fcb051759530978625,f6c8c9c0ab72320bda5b40f33f4dee8f48ca5a926613d1439927f1814e749abd,,0,0.1111111111111111
q3_S_tail_0_2025-03-12,q3,S_tail,0,2025-03-12,常规日,limited,1789277887.3049819,42693.867744883428,44005.404538370101,-1554.9987230304573,62.216883843947016,243.46192954378884,1248.9056517417569,9652.4441167344903,21223.937256383466,17577.529167441116,38801.466423824582,38.938741291000042,False,0.17718078191608957,4,3,,True,0.34869460639287581,25.524528707102832,69.563615123393063,True,限时可行 / 未认证,c13be2a2223e44360bf8a5aaa1c248de77900d810a09bf21e9af99c5c0313ed9,1cac2e6111ce46c4694c0b5584f507edaed75e092b0eafd9727ece8816bc0168,5030e39ce1049f8397673ad5d456c0733d0ac464d09984484d180e83611891ee,True,0.11805555555555555,0
baseline_q3_S_tail_0_2025-03-12,q3,S_tail,2,2025-03-12,常规日,baseline_reused,,42545.513832886019,44005.404538370101,-1611.0778999291633,36.692355136844185,151.18719444508554,1248.9056517417532,9669.3764088815515,21233.962705587466,17570.410718364004,38804.373423951474,36.909480917980545,False,,4,3,,True,0,0,0,True,,,,,,0.083333333333333329,0
q3_S_tail_4_2025-03-12,q3,S_tail,4,2025-03-12,常规日,limited,1789277926.255532,42578.846925817677,44233.700985188145,-1765.3759226820498,17.946392104505776,110.52186331158454,1279.5008641245354,9671.0910171405212,21236.083057080796,17570.585055640524,38806.668112721323,38.696069958008593,False,0.15601608798687644,4,3,,True,0.078346904123867578,-18.745963032338409,-51.089560652144883,True,限时可行 / 未认证,3c424147112196e376ae3fdae787833275d0005e56b188d9d28e4d30a6d85514,d0583bdd924b131832ca2ecd6a1a0427599138856a1d9ee2ec8c570aea11f68b,6e7d839334f87cc01a7fb798c1cf1c3a2102921934a56c6cb9dfb9f07e0aa946,True,0.069444444444444448,0
q3_S_tail_0_2025-08-25,q3,S_tail,0,2025-08-25,高预测更新日,limited,1789277964.9631062,53836.963949753976,59133.282046905413,-5296.3180971514512,0,0,1731.7194024572161,10099.821085095908,20855.295187930478,16655.003295771639,37510.298483702121,45.689469625009224,False,1.1896799272777252,4,2,,True,0.25683624023332019,-22.655337004360263,-100,True,限时可行 / 未认证,45ed9662c267044b6a6cab3dbc0fe29055cf2fc10189c72fcc47bac7119e6939,8f4e61447e8ae5524a263cb8f876c036fbe57e375d09e2e7765141ae79b4f328,c32ba04e2bc82bbd19a04072e18e9093a9f5cf249c00cf13357d4aed81c64ba3,True,0.090277777777777776,0
baseline_q3_S_tail_0_2025-08-25,q3,S_tail,2,2025-08-25,高预测更新日,baseline_reused,,53699.045340659839,58660.591820442132,-5057.2954524329562,22.655337004360263,95.748972650663902,1710.6855926034459,10077.809874267907,20788.933845525811,16621.060698169058,37409.994543694869,44.327987332988414,False,,4,2,,True,0,0,0,True,,,,,,0.10416666666666667,0
q3_S_tail_4_2025-08-25,q3,S_tail,4,2025-08-25,高预测更新日,limited,1789278010.6645188,53826.874428884752,58844.087430090462,-5118.0160199088104,23.809360534998859,100.80301870309565,1710.4864785359709,10093.625586786286,20833.245852888369,16642.71928286619,37475.965135754559,45.675685124995653,False,0.52171852001707819,4,2,,True,0.23804722675046025,1.1540235306385966,5.0938263704331233,True,限时可行 / 未认证,3da348153ff2a7d68bf4e685f222e02d1f81921f14d51220a9cf09fe1dfcfc36,9d9719d3fbe68225e2598205a82d9d205f6579e65fcee149259ebe761afc73aa,fe52986e37ba8eeffe299bff5a2c3990db73c9ffcfba8550042f5a2cff936819,True,0.10416666666666667,0
q3_S_tail_0_2025-07-01,q3,S_tail,0,2025-07-01,高调整成本日,limited,1789278056.3523619,77457.69199657315,41955.880548537731,11761.771056652677,4650.8964423369998,23740.040391382736,1200,6729.6841123895338,14628.724700747862,14741.4058220316,29370.130522779462,52.86543420801172,False,0.068022017134184584,4,1,,True,1.0206266766046372,95.622589942672676,2.0991622686397187,True,限时可行 / 未认证,874a8af133a2b4cb047496825e9cfd64aba2aa6ae1a8c8557f9ac82fb34625a6,3448c18493966e54908ab5dc90dbe5ef36231319553fcf12b53caf9ebb3ffd41,8c672f404831c7d504c4b97a6c104fea589edead86e5d718ad372efe053e5227,True,0,0.090277777777777776
baseline_q3_S_tail_0_2025-07-01,q3,S_tail,2,2025-07-01,高调整成本日,baseline_reused,,76675.125214315834,41952.854882816144,12224.592278422484,4555.2738523943272,22497.678053077208,1200,6684.4687314379426,14686.450760168836,14828.857773019021,29515.308533187857,51.874550501015619,False,,4,1,,True,0,0,0,True,,,,,,0,0.090277777777777776
q3_S_tail_4_2025-07-01,q3,S_tail,4,2025-07-01,高调整成本日,limited,1789278109.2294619,77190.679558089527,41948.616200186014,11653.635374226888,4754.2258895102323,23588.427983676636,1200,6871.2523226501617,15045.101973625491,14951.260023827912,29996.361997453401,53.599594291008543,False,0.057983214688508741,4,1,,True,0.67238800371392737,198.95203711590511,4.3675099140599993,True,限时可行 / 未认证,3e472f31427a47ee981ffcd54f0777337ca13f2d8501c587fc5767e7690cf8a7,17bf8d33cf9e49be6f935bc76abb758fcd8e9619250aa4e2b19333450e622fa3,0cefc869eecbc717e458dbadae1953fb9cbb606f552687002d358ba22b8e1381,True,0,0.083333333333333329
q3_S_tail_0_2025-07-02,q3,S_tail,0,2025-07-02,高风险日,limited,1789278162.8405361,68128.904040077003,44967.656280536365,4231.41942779907,3434.104415092509,18929.828331741552,1200,6689.1148611692934,15787.883009088546,12784.003720603509,28571.886729692054,56.092238582990831,False,0.10401592632614716,4,1,,True,-0.77230678170892408,-536.14767880205318,-13.504121806938631,True,限时可行 / 未认证,cc8abe89b8026e9a4c63c46b70847ff338e0c3a7fe49c12ccc0a54f662568259,fe191946fb60da97ebdb07ca2d2efc57fa89544b6a14425cdd7a17f392a7303f,eb46d9da50b56c25bb6fa42801354b73c1f3ec4e67ebc28fc7621b9e6b50d169,True,0,0.1111111111111111
baseline_q3_S_tail_0_2025-07-02,q3,S_tail,2,2025-07-02,高风险日,baseline_reused,,68659.16341539874,44948.964535737803,4002.4429458296572,3970.2520938945622,19707.755933831286,1200,6720.0702662791764,15385.556272928232,12430.259199714757,27815.815472642989,47.816191751000588,False,,4,2,,True,0,0,0,True,,,,,,0,0.1111111111111111
q3_S_tail_4_2025-07-02,q3,S_tail,4,2025-07-02,高风险日,limited,1789278218.9447701,68887.669226022743,45015.538043498462,3582.2306778575235,4177.6499713762942,20289.900504666759,1200,6699.5914701302981,15479.342229676571,12524.656741214902,28003.998970891473,56.839256958017359,False,0.11714995741923238,4,1,,True,0.33281181892867956,207.39787748173194,5.2237961866619891,True,限时可行 / 未认证,5eb66594b4c802b2b3396d33ba9c0c019a1562f7cc489ade7ca2fb9cc74e076f,171df0fb098a96a585e7b152b2a8cc39107210cbe496bbf52e20ccd58db1f42c,7c436ad4b2acf4213653edf00bd6403c5a42ffb352853a2ad5c3defb2834b02b,True,0,0.1111111111111111
