job,date,budget,K,M,S,seconds,solver,reliable,gap,time_limit,binary,constraints,audit,audit_sha256
window_56,2025-02-02,original,2,17,17,2.723884458,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00889849708659,,34272,137088,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-02.json,8e563adf457e4e63a48f371cb24517598924633b604754ade9634822b4a141b7
window_56,2025-02-02,original,3,16,16,4.333215667,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00892397596411,,48384,193536,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-02.json,8e563adf457e4e63a48f371cb24517598924633b604754ade9634822b4a141b7
window_56,2025-02-03,original,1,19,19,1.271847791,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.005912276677,,19152,76608,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-03.json,71c9382922582fbd60191db7fd2bd03eba3429cb8ce7af4ada2b4c744dfffa3d
window_56,2025-02-03,original,2,18,18,3.314698958,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00889389558255,,36288,145152,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-03.json,71c9382922582fbd60191db7fd2bd03eba3429cb8ce7af4ada2b4c744dfffa3d
window_56,2025-02-03,original,3,17,17,4.51938,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00922589165551,,51408,205632,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-03.json,71c9382922582fbd60191db7fd2bd03eba3429cb8ce7af4ada2b4c744dfffa3d
window_56,2025-02-04,original,1,20,20,1.7569205,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00801337301747,,20160,80640,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-04.json,50aefe884e39b286f6b9e8d288f5c89a1b1a6c93466bf0fbc784a0e780ef8f34
window_56,2025-02-04,original,2,19,19,3.239935834,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0091740360699,,38304,153216,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-04.json,50aefe884e39b286f6b9e8d288f5c89a1b1a6c93466bf0fbc784a0e780ef8f34
window_56,2025-02-04,original,3,18,18,4.800068292,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00919035954042,,54432,217728,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-04.json,50aefe884e39b286f6b9e8d288f5c89a1b1a6c93466bf0fbc784a0e780ef8f34
window_56,2025-02-05,original,1,21,21,1.760944042,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00919965744425,,21168,84672,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-05.json,268466c52134852d5269e79e64d6602b9376ae6238d837ef5dcae0b33cd7ca62
window_56,2025-02-05,original,2,20,20,3.790147751,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0093871716002,,40320,161280,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-05.json,268466c52134852d5269e79e64d6602b9376ae6238d837ef5dcae0b33cd7ca62
