id,question,date,parameter,value,hour,reliable,relative_gap,upper_bound,lower_bound,absolute_model_gap_yuan,status,accepted_by,solver_seconds
q3_lambda_E_1.2_2025-03-12,q3,2025-03-12,lambda_E,1.2,12,True,0.018960849296575537,4477.0902462187887,4392.200812773066,84.889433445722716,certified_policy_from_LP_bound,certified_3pct,1.15438575000735
q3_lambda_E_1.2_2025-03-12,q3,2025-03-12,lambda_E,1.2,18,True,0.0022266167080540983,21544.454378459162,21496.483136374176,47.971242084986443,certified_policy_from_LP_bound,certified_3pct,1.0788969999994151
q3_lambda_E_0.8_2025-08-25,q3,2025-08-25,lambda_E,0.80000000000000004,0,True,0.025163861649103579,57173.250055929355,55734.550301492345,1438.6997544370097,certified_policy_from_LP_bound,certified_3pct,1.2520052080217283
q3_lambda_E_0.8_2025-08-25,q3,2025-08-25,lambda_E,0.80000000000000004,6,True,0.018791994872534069,5656.9984518259707,5550.6921659253239,106.3062859006468,Interrupted by user,certified_3pct,17.943576499994379
q3_lambda_E_0.8_2025-08-25,q3,2025-08-25,lambda_E,0.80000000000000004,12,True,0.02641837189936656,8253.9139616116754,8035.8589929484442,218.05496866323119,certified_policy_from_LP_bound,certified_3pct,1.0333909580076579
q3_lambda_E_0.8_2025-08-25,q3,2025-08-25,lambda_E,0.80000000000000004,18,True,0.007909751870947496,16133.291085021148,16005.680755676862,127.61032934428658,certified_policy_from_LP_bound,certified_3pct,1.013241915992694
q3_lambda_E_1.2_2025-08-25,q3,2025-08-25,lambda_E,1.2,0,True,0.025603190144525837,55936.926236297062,54504.762477768832,1432.1637585282297,certified_policy_from_LP_bound,certified_3pct,1.4397803329920862
q3_lambda_E_1.2_2025-08-25,q3,2025-08-25,lambda_E,1.2,6,True,0.020517720469390387,-1416.2057220624974,-1445.2630351949269,29.057313132429499,Interrupted by user,certified_3pct,18.558000708027976
q3_lambda_E_1.2_2025-08-25,q3,2025-08-25,lambda_E,1.2,12,False,0.05376192045321497,2476.9559684909427,2343.7900587468166,133.16590974412611,hard_limit_feasible,hard_limit_feasible,8.0919726660067681
q3_lambda_E_1.2_2025-08-25,q3,2025-08-25,lambda_E,1.2,18,True,0.013059306921262762,7508.0138316302,7409.9643746338552,98.049456996344816,certified_policy_from_LP_bound,certified_3pct,0.91074270798708312
q3_lambda_E_0.8_2025-07-01,q3,2025-07-01,lambda_E,0.80000000000000004,0,True,0.029356428935167569,40007.328684223226,38832.856382818936,1174.4723014042902,certified_policy_from_LP_bound,certified_3pct,1.1816887499880977
q3_lambda_E_0.8_2025-07-01,q3,2025-07-01,lambda_E,0.80000000000000004,6,False,0.041072094998629988,15409.723233805995,14776.813617244519,632.90961656147556,hard_limit_feasible,hard_limit_feasible,35.048451082984684
q3_lambda_E_0.8_2025-07-01,q3,2025-07-01,lambda_E,0.80000000000000004,12,False,0.055202398986987741,14488.467103316298,13688.668961569185,799.79814174711282,hard_limit_feasible,hard_limit_feasible,8.0415895419719163
q3_lambda_E_0.8_2025-07-01,q3,2025-07-01,lambda_E,0.80000000000000004,18,False,0.045013518105621715,19814.472750116242,18922.553622225536,891.91912789070557,hard_limit_feasible,hard_limit_feasible,8.0430589579918887
q3_lambda_E_1.2_2025-07-01,q3,2025-07-01,lambda_E,1.2,0,True,0.027788588525294085,38636.291414296415,37562.643410041179,1073.6480042552357,certified_policy_from_LP_bound,certified_3pct,1.064220041007502
q3_lambda_E_1.2_2025-07-01,q3,2025-07-01,lambda_E,1.2,6,False,0.066043297660424757,9843.5062059447337,9193.4085955632872,650.09761038144643,hard_limit_feasible,hard_limit_feasible,35.16668187500909
q3_lambda_E_1.2_2025-07-01,q3,2025-07-01,lambda_E,1.2,12,False,0.073073023646022764,8885.5362888918171,8236.243285546032,649.29300334578511,hard_limit_feasible,hard_limit_feasible,8.1721937909896951
q3_lambda_E_1.2_2025-07-01,q3,2025-07-01,lambda_E,1.2,18,False,0.058900094278304331,11816.430708839494,11120.441826055798,695.98888278369668,hard_limit_feasible,hard_limit_feasible,8.0457407909852918
q3_lambda_E_0.8_2025-07-02,q3,2025-07-02,lambda_E,0.80000000000000004,0,True,0.019137109939126037,43419.181215021752,42588.263570643045,830.91764437870734,Interrupted by user,certified_3pct,4.8368085420224816
q3_lambda_E_0.8_2025-07-02,q3,2025-07-02,lambda_E,0.80000000000000004,6,False,0.066769374462578954,12582.463380637664,11742.340171514181,840.12320912348332,hard_limit_feasible,hard_limit_feasible,35.064367958024377
q3_lambda_E_0.8_2025-07-02,q3,2025-07-02,lambda_E,0.80000000000000004,12,False,0.041628278435981769,13862.816453309246,13285.731270083979,577.08518322526652,hard_limit_feasible,hard_limit_feasible,8.0557451669883449
q3_lambda_E_0.8_2025-07-02,q3,2025-07-02,lambda_E,0.80000000000000004,18,True,0.027899112874259099,26447.251959361125,25709.397091732939,737.85486762818618,Interrupted by user,certified_3pct,4.8089252089848742
q3_lambda_E_1.2_2025-07-02,q3,2025-07-02,lambda_E,1.2,0,True,0.02174899315092179,42164.335293892145,41247.303454372115,917.03183952003019,Interrupted by user,certified_3pct,4.9952969159930944
q3_lambda_E_1.2_2025-07-02,q3,2025-07-02,lambda_E,1.2,6,False,0.14238436839178067,6190.3297195146833,5308.9235322647164,881.40618724996693,hard_limit_feasible,hard_limit_feasible,35.044822750001913
q3_lambda_E_1.2_2025-07-02,q3,2025-07-02,lambda_E,1.2,12,False,0.10795327212983838,8395.5774956263012,7489.2474335538082,906.33006207249309,hard_limit_feasible,hard_limit_feasible,8.1216837920073885
q3_lambda_E_1.2_2025-07-02,q3,2025-07-02,lambda_E,1.2,18,False,0.037889918672587695,19594.868921840854,18852.420931992288,742.44798984856607,hard_limit_feasible,hard_limit_feasible,8.0775494579866063
q3_S_tail_0_2025-03-12,q3,2025-03-12,S_tail,0,0,True,0.023289981806707095,41269.072830969468,40307.916875556519,961.15595541294897,certified_policy_from_LP_bound,certified_3pct,1.4009043750120327
q3_S_tail_0_2025-03-12,q3,2025-03-12,S_tail,0,6,False,0.17718078191608957,-738.82783620376995,-869.73392992372646,130.90609371995652,hard_limit_feasible,hard_limit_feasible,35.180489291000413
q3_S_tail_0_2025-03-12,q3,2025-03-12,S_tail,0,12,True,0.0087682365857498726,5489.6956861316439,5441.5607355718712,48.134950559772733,certified_policy_from_LP_bound,certified_3pct,1.0527792920183856
q3_S_tail_0_2025-03-12,q3,2025-03-12,S_tail,0,18,True,0.0019894781812209014,23871.077960526181,23823.586971761491,47.490988764689973,certified_policy_from_LP_bound,certified_3pct,1.0782491250138264
q3_S_tail_4_2025-03-12,q3,2025-03-12,S_tail,4,0,True,0.025792421743731263,41675.112386613997,40600.21031172105,1074.902074892947,certified_policy_from_LP_bound,certified_3pct,1.4239237910078373
q3_S_tail_4_2025-03-12,q3,2025-03-12,S_tail,4,6,False,0.15601608798687644,-851.7023897137442,-984.58166468595664,132.87927497221244,hard_limit_feasible,hard_limit_feasible,35.059571334015345
q3_S_tail_4_2025-03-12,q3,2025-03-12,S_tail,4,12,True,0.0053525603306929584,5802.1318568267907,5771.0755960164897,31.056260810300955,certified_policy_from_LP_bound,certified_3pct,0.91449695802293718
q3_S_tail_4_2025-03-12,q3,2025-03-12,S_tail,4,18,True,0.0023518411917089789,23685.130716271797,23629.427050222257,55.703666049539606,certified_policy_from_LP_bound,certified_3pct,1.077971416991204
q3_S_tail_0_2025-08-25,q3,2025-08-25,S_tail,0,0,True,0.024941495816771693,57324.747917861263,55894.982957470434,1429.7649603908285,certified_policy_from_LP_bound,certified_3pct,1.2987035000114702
q3_S_tail_0_2025-08-25,q3,2025-08-25,S_tail,0,6,False,1.1896799272777252,-8.1353487018159285,-17.813809753771238,9.6784610519553098,hard_limit_feasible,hard_limit_feasible,35.038519209017977
q3_S_tail_0_2025-08-25,q3,2025-08-25,S_tail,0,12,False,0.032553824555441604,3184.1839056002987,3080.5265413851257,103.65736421517295,hard_limit_feasible,hard_limit_feasible,8.1043895840120967
q3_S_tail_0_2025-08-25,q3,2025-08-25,S_tail,0,18,True,0.010056661420330128,10055.55635095897,9954.4310253443255,101.12532561464468,certified_policy_from_LP_bound,certified_3pct,0.91650370802381076
q3_S_tail_4_2025-08-25,q3,2025-08-25,S_tail,4,0,True,0.02668911663278755,57167.749334351283,55641.992604732819,1525.7567296184643,certified_policy_from_LP_bound,certified_3pct,1.2510259170085192
q3_S_tail_4_2025-08-25,q3,2025-08-25,S_tail,4,6,False,0.52171852001707819,275.76793936584545,131.89469817173722,143.87324119410823,hard_limit_feasible,hard_limit_feasible,35.057155249989592
q3_S_tail_4_2025-08-25,q3,2025-08-25,S_tail,4,12,False,0.038615793004852433,3402.9468438932618,3271.5393529629637,131.40749093029808,hard_limit_feasible,hard_limit_feasible,8.0465989160002209
q3_S_tail_4_2025-08-25,q3,2025-08-25,S_tail,4,18,True,0.0098351170143194354,10051.094326571803,9952.2406377480074,98.853688823795892,certified_policy_from_LP_bound,certified_3pct,1.0042962919978891
q3_S_tail_0_2025-07-01,q3,2025-07-01,S_tail,0,0,True,0.027667742897336405,39461.932065270172,38370.109474656121,1091.8225906140506,certified_policy_from_LP_bound,certified_3pct,1.0574771660030819
q3_S_tail_0_2025-07-01,q3,2025-07-01,S_tail,0,6,False,0.068022017134184584,11241.461045127284,10476.794189302367,764.66685582491664,hard_limit_feasible,hard_limit_feasible,35.078359291976085
q3_S_tail_0_2025-07-01,q3,2025-07-01,S_tail,0,12,False,0.06065622782269784,10206.999032680778,9587.8809739684366,619.11805871234174,hard_limit_feasible,hard_limit_feasible,8.2508069580071606
q3_S_tail_0_2025-07-01,q3,2025-07-01,S_tail,0,18,False,0.051299900464430163,14249.687680071667,13518.680120434774,731.00755963689335,hard_limit_feasible,hard_limit_feasible,8.0477348749991506
q3_S_tail_4_2025-07-01,q3,2025-07-01,S_tail,4,0,True,0.027313450271541615,39546.819042168245,38466.658966862327,1080.1600753059174,certified_policy_from_LP_bound,certified_3pct,1.2628096250118688
q3_S_tail_4_2025-07-01,q3,2025-07-01,S_tail,4,6,False,0.05390043027860978,11054.105321778465,10458.284288589535,595.8210331889295,hard_limit_feasible,hard_limit_feasible,35.612152749992674
q3_S_tail_4_2025-07-01,q3,2025-07-01,S_tail,4,12,False,0.057983214688508741,10313.39585143538,9715.3920056140269,598.00384582135302,hard_limit_feasible,hard_limit_feasible,8.0450348750164267
q3_S_tail_4_2025-07-01,q3,2025-07-01,S_tail,4,18,False,0.050596804560147507,14054.730595588706,13343.606138498179,711.12445709052736,hard_limit_feasible,hard_limit_feasible,8.2442642499809153
q3_S_tail_0_2025-07-02,q3,2025-07-02,S_tail,0,0,True,0.02002061375525898,43029.506143433595,42168.029020856367,861.47712257722742,Interrupted by user,certified_3pct,4.2796025830029976
q3_S_tail_0_2025-07-02,q3,2025-07-02,S_tail,0,6,False,0.088122708165763161,8499.5547879432343,7750.5510018263976,749.00378611683664,hard_limit_feasible,hard_limit_feasible,35.070340666978154
q3_S_tail_0_2025-07-02,q3,2025-07-02,S_tail,0,12,False,0.10401592632614716,9568.0765755856464,8572.8442274165955,995.23234816905097,hard_limit_feasible,hard_limit_feasible,8.1791238750156481
q3_S_tail_0_2025-07-02,q3,2025-07-02,S_tail,0,18,False,0.030179593067961537,21358.612458407864,20714.018225916821,644.59423249104293,hard_limit_feasible,hard_limit_feasible,8.1287538750038948
q3_S_tail_4_2025-07-02,q3,2025-07-02,S_tail,4,0,True,0.019001471955720783,42984.803560228211,42168.029020856367,816.77453937184328,Interrupted by user,certified_3pct,4.8632010410074145
q3_S_tail_4_2025-07-02,q3,2025-07-02,S_tail,4,6,False,0.11714995741923238,7464.7049378787178,6590.2150722590923,874.48986561962556,hard_limit_feasible,hard_limit_feasible,35.43716741699609
q3_S_tail_4_2025-07-02,q3,2025-07-02,S_tail,4,12,False,0.090766450374282451,10032.912592539689,9122.2607295994221,910.65186294026716,hard_limit_feasible,hard_limit_feasible,8.0508846669981722
q3_S_tail_4_2025-07-02,q3,2025-07-02,S_tail,4,18,False,0.030467088617418807,22177.717129396224,21502.026656282862,675.6904731133618,hard_limit_feasible,hard_limit_feasible,8.0517097919946536
