date,total_cost,emergency,net_mae,peak_net,initial_soc,median_cost_distance
2025-03-31,38430.28358593604,166.0937954392917,40.91530702100299,954.7980166666667,8559.947069443122,5048.78159689709
2025-04-01,48021.72532826307,1489.7831816577589,49.691737162582314,950.7871333333333,8105.943537047586,4542.660145429938
2025-04-02,51496.55185278717,2473.9379733340797,53.884873428090174,921.5740666666667,8048.872297963336,8017.486669954036
2025-04-03,38282.22369853259,286.0802476703591,31.541863970806308,925.4916499999999,8023.965840097236,5196.841484300545
2025-04-04,14785.02366428296,0.0,43.235435230186376,503.50333333333333,3787.0820317709477,28694.04151855017
2025-04-05,17284.527462290247,0.0,31.75635486535801,550.855,4035.259361418376,26194.537720542885
2025-04-06,38285.74849920944,4.45539731702695,29.11569058798365,878.86435,8286.632013846744,5193.316683623692
2025-04-07,37746.29038662067,0.0,41.43365926430262,881.9106000000002,8642.984423326092,5732.774796212463
2025-04-08,39314.6571603218,281.80325261792814,34.3443599346592,925.9202499999999,8609.832161482109,4164.408022511328
2025-04-09,43353.194953705606,802.7231050346472,41.644323413487484,903.8649166666667,7940.726132513743,125.87022912752582
2025-04-10,36118.71328127819,96.08841527821507,33.803271027972805,884.9011,7933.84834328968,7360.351901554939
2025-04-11,14364.848000517377,14.927955373805645,41.954486865196046,493.1533333333333,3572.536215510676,29114.217182315755
2025-04-12,17144.99171504223,11.61232983019562,35.85072944006826,571.72,3119.2399411792526,26334.073467790902
2025-04-13,36977.179896171285,26.31811821703591,30.281154139864555,900.3554666666666,8531.425126853263,6501.885286661847
2025-04-14,36478.81056670107,10.633394233568424,30.504281108092105,878.2465333333332,8354.749089297924,7000.254616132064
2025-04-15,36858.21102982279,1.0578579127975445,48.929127471809366,893.08715,8381.789060830894,6620.854153010339
2025-04-16,36150.43160155051,1.9587029815598953,30.655252029906688,836.6328,8519.717846342295,7328.633581282622
2025-04-17,32323.877023782705,23.838162547012644,26.26867420754038,844.7969999999998,8397.065006787583,11155.188159050427
2025-04-18,13895.015414394427,0.0,29.028405276323067,476.4871833333333,3208.010786911967,29584.049768438705
2025-04-19,16423.970216495713,5.416814085221937,35.82782493297555,571.52,3273.9594412599813,27055.09496633742
2025-04-20,36970.05498695346,361.3108728209047,30.802375470606723,853.0375333333333,8284.60099523275,6509.010195879673
2025-04-21,36521.544620683555,0.0,42.939877154762115,797.3770333333333,8446.628218940861,6957.520562149577
2025-04-22,35432.24978002471,33.07911570197685,30.99872189893186,827.3726166666667,8548.52607797099,8046.815402808425
2025-04-23,35701.82344995454,0.0,35.75178120588682,831.4897666666667,8298.248861149752,7777.241732878589
2025-04-24,31218.778499790467,2.959967662545978,39.53069134888805,837.6274666666666,8622.483357645777,12260.286683042665
2025-04-25,13163.991080919059,0.0,31.862839154473217,490.2083333333333,2372.5214367869607,30315.074101914073
2025-04-26,16721.902198682288,14.6717936146959,55.03888728226359,557.8033333333333,2466.1452328453006,26757.162984150844
2025-04-27,39012.77441001752,1110.6640155083346,33.448235083748386,821.2531833333334,7811.767585370366,4466.290772815613
