date,path,n,absolute_error_sum_kw,squared_error_sum_kw2,econ_loss_sum
2025-04-17,direct_net_week,144,35093.294900000008,19113019.070503272,4175.3903530399994
2025-04-17,separate_strong_baselines,144,24484.777685714282,7642772.9257229548,3899.5684582785707
2025-04-18,direct_net_week,144,35231.542100000006,16612469.10753379,3396.9223965966676
2025-04-18,separate_strong_baselines,144,28226.324371428575,10331248.902280571,3379.1191855514289
2025-04-19,direct_net_week,144,43037.103600000002,23293956.706464417,3773.0629751150009
2025-04-19,separate_strong_baselines,144,32224.347257142861,13073747.883637406,3431.8080518992856
2025-04-20,direct_net_week,144,37479.197200000002,18449216.011919744,5227.084512989999
2025-04-20,separate_strong_baselines,144,29535.997985714283,11223690.312593907,6075.9614520442829
2025-04-21,direct_net_week,144,39985.105499999991,24836833.592068382,5221.1930196316634
2025-04-21,separate_strong_baselines,144,40469.241242857141,23799035.362263329,4715.1670173392831
2025-04-22,direct_net_week,144,40690.343500000003,22263556.353688426,6142.5081013849995
2025-04-22,separate_strong_baselines,144,29935.775357142858,11284893.744508281,5506.1776794357138
2025-04-23,direct_net_week,144,37934.921600000001,24741407.521250218,4352.0236217016673
2025-04-23,separate_strong_baselines,144,32679.142585714289,13048667.626093503,4359.5431436095223
2025-04-24,direct_net_week,144,47114.594300000004,36694803.775828496,4263.506292021666
2025-04-24,separate_strong_baselines,144,36849.324228571437,21366668.517569013,4046.8487215426198
2025-04-25,direct_net_week,144,39806.474999999999,23750570.992693298,3137.6856923383325
2025-04-25,separate_strong_baselines,144,29550.372757142854,12400085.058213314,2900.0380159826191
2025-04-26,direct_net_week,144,62513.367100000003,61991420.884454958,4335.0290904183321
2025-04-26,separate_strong_baselines,144,53149.291357142858,42352712.587250002,4447.6416746802361
2025-04-27,direct_net_week,144,36698.465400000001,23009448.513427489,5273.3800373249996
2025-04-27,separate_strong_baselines,144,31552.244714285727,14825360.247904018,8432.7082944950016
2025-04-28,direct_net_week,144,66150.472399999984,73943251.967244714,10909.679086451664
2025-04-28,separate_strong_baselines,144,61171.289214285709,59406177.854386486,10377.381185159522
2025-04-29,direct_net_week,144,43794.419599999994,26414052.366217438,6487.8842193933324
2025-04-29,separate_strong_baselines,144,34499.008228571431,16147870.460105486,6584.4968633799981
2025-04-30,direct_net_week,144,42216.616500000011,24199535.608806297,4617.6490908533342
2025-04-30,separate_strong_baselines,144,43503.064771428559,22109581.296886772,4830.9105348154753
2025-05-01,direct_net_week,144,52494.581999999995,29319443.52119064,17403.463617118337
2025-05-01,separate_strong_baselines,144,41886.753171428558,18258087.922012735,15852.656210793806
2025-05-02,direct_net_week,144,76911.454800000007,76771637.007265478,14668.495314284999
2025-05-02,separate_strong_baselines,144,69242.984171428572,55969217.057107642,13445.072491710951
2025-05-03,direct_net_week,144,58976.810500000007,55974301.688817725,11123.146449028332
2025-05-03,separate_strong_baselines,144,37375.204485714276,16162285.764067443,10840.071874037378
2025-05-04,direct_net_week,144,60997.379699999998,48645840.286741003,12420.098660946667
2025-05-04,separate_strong_baselines,144,48046.84198571428,23991452.486579657,12675.620686386192
2025-05-05,direct_net_week,144,65162.846100000002,51850408.456355177,17239.55267566667
2025-05-05,separate_strong_baselines,144,52884.122742857136,27328065.945037887,18544.733478274044
2025-05-06,direct_net_week,144,55052.937700000009,36929076.700845934,20327.105411486664
2025-05-06,separate_strong_baselines,144,49463.929571428562,26841117.248774271,16724.671429599763
2025-05-07,direct_net_week,144,62827.794299999994,41968296.842594668,23873.221754139999
2025-05-07,separate_strong_baselines,144,40450.167814285713,18157627.02434209,17061.793015628573
2025-05-08,direct_net_week,144,62645.974599999994,54630804.855473123,8976.5765433516663
2025-05-08,separate_strong_baselines,144,41626.470271428567,21501063.702048462,8226.6236855045245
2025-05-09,direct_net_week,144,48148.275999999998,33743832.223992623,4113.0752330750001
