date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-03-05,3,26,26,7709.1779393497682,7932.0158547226911,44860.975068505242,76.459307643131524,False
2025-03-06,2,27,27,7932.0158547226911,5095.2801422518824,43410.656735182172,11.604346619827538,False
2025-03-07,2,27,27,5095.2801422518824,4667.8762459575128,16548.682629918098,8.1663354597489217,False
2025-03-08,2,27,27,4667.8762459575128,8187.300787389875,18571.447618523991,242.39486845792823,False
2025-03-09,2,27,27,8187.300787389875,7858.0954604506542,44278.023993073359,359.04170763221742,False
2025-03-10,2,27,27,7858.0954604506542,7726.9991609620802,53241.466932864329,1743.682087502935,False
2025-03-11,2,27,27,7726.9991609620802,7886.075828055662,43961.439684784629,153.79148819456969,False
2025-03-12,2,27,27,7886.075828055662,7566.4227456858898,43461.451101037979,58.7795714155327,False
2025-03-13,2,27,27,7566.4227456858898,4262.873973216786,49639.771199878778,1304.7263623464003,False
2025-03-14,2,27,27,4262.873973216786,4581.84427376452,15841.914567746448,5.7159427478321732,False
2025-03-15,2,27,27,4581.84427376452,7775.7660102333803,17876.099825775782,149.69663360685266,False
2025-03-16,2,27,27,7775.7660102333803,8022.6377963250216,42873.86442889215,115.73678881194485,False
2025-03-17,2,27,27,8022.6377963250216,8240.5632878144224,42678.473808807794,33.599667302387729,False
2025-03-18,2,27,27,8240.5632878144224,8124.8669617151054,41888.745005662415,53.120760409581294,False
2025-03-19,2,27,27,8124.8669617151054,8377.5607939233687,41618.393206579422,0,False
2025-03-20,2,27,27,8377.5607939233687,4111.5846244290287,39729.423251504595,113.04761609526005,False
2025-03-21,2,27,27,4111.5846244290287,4121.8470132393759,15241.287245746016,25.497827098608582,False
2025-03-22,2,27,27,4121.8470132393759,8462.7100131421084,17198.471230598025,2.7866214172483978,False
2025-03-23,2,27,27,8462.7100131421084,7923.1608426076955,40173.285351940263,107.90856886641498,False
2025-03-24,2,27,27,7923.1608426076955,7990.2522858319526,39891.992921544734,68.960217271836882,False
2025-03-25,2,27,27,7990.2522858319526,7836.4703156879932,41009.153042308877,417.7873128344109,False
2025-03-26,2,27,27,7836.4703156879932,8158.7583249508316,38958.769261276364,39.0534646056376,False
