date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-10,original,2,25,25,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,104274.10254651948,103695.3752823189,0.005581032544845454,5.3631452500012529,94464,50400,201600,92835,48546,195486,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-10.json
2025-02-10,original,3,24,24,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,157276.91745057781,156373.60314250021,0.0057766419007076212,7.7985267069998372,136080,72576,290304,133684,69964,281522,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-10.json
2025-02-11,original,1,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,49846.671458300691,49639.807836827706,0.0041672929547384979,2.7197288329989533,50976,27216,108864,49957,25954,104852,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-11.json
2025-02-11,original,2,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,102624.67112314428,102068.8843078175,0.0054452129960649463,5.3766561259999435,98208,52416,209664,96186,50160,202158,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-11.json
2025-02-11,original,3,25,25,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,154611.99257040484,153745.50759527326,0.0056358393079851974,7.3098932920001971,141696,75600,302400,138671,72350,291400,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-11.json
2025-02-12,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,49451.080156462114,49236.834392393248,0.0043513310047805544,2.552850499001579,52848,28224,112896,51580,26704,107996,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-12.json
2025-02-12,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,101489.27621981513,100926.38098410997,0.0055772854452572074,5.5062883339996915,101952,54432,217728,99449,51686,208522,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-12.json
2025-02-12,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,120757.24479049709,120092.94706641557,0.0055315298717263034,7.9866227500006062,147312,78624,314496,140786,71864,291226,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-12.json
2025-02-13,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,48876.172651154404,48601.578223941404,0.0056499076212659554,2.8065363330006221,52848,28224,112896,51460,26584,107576,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-13.json
2025-02-13,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,68209.710650805107,67792.725056994313,0.0061508899879777392,5.3900617500003136,101952,54432,217728,96265,48502,197378,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-13.json
